Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
23-03-2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,23-Mar-26,5,35286502,143.05,5047381246
23-03-2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,23-Mar-26,10,10500000,31.25,328335000
23-03-2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,23-Mar-26,1,405057728,985.4,3.99144E+11
23-03-2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,23-Mar-26,10,207396267,13.5,2797775642
23-03-2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,23-Mar-26,10,11265070,31100,3.50344E+11
23-03-2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,23-Mar-26,2,18000000,31.55,568260000
23-03-2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,23-Mar-26,10,46863507,279.2,13084291154
23-03-2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,23-Mar-26,2,46078537,484.3,22315835469
23-03-2026,A2ZINFRA,BE,A2Z INFRA ENGINEERING LTD,Listed    ,23-Mar-26,10,176119858,15.85,2795022146
23-03-2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,23-Mar-26,10,12826800,90.1,1155822948
23-03-2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,23-Mar-26,10,433796312,445.1,1.93083E+11
23-03-2026,AAKAAR,ST,AAKAAR MEDICAL TECHNO LTD,Listed    ,23-Mar-26,10,14172816,50.9,721396334.4
23-03-2026,AAKASH,BE,AAKASH EXPLORATION SER L ,Listed    ,23-Mar-26,1,101250000,8.5,858600000
23-03-2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,23-Mar-26,10,14138000,103,1456214000
23-03-2026,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,23-Mar-26,10,28354303,62.5,1771576851
23-03-2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,23-Mar-26,10,42238628,24.9,1052586610
23-03-2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,23-Mar-26,10,20946478,135.95,2847464219
23-03-2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,23-Mar-26,5,31770376,44.75,1422359734
23-03-2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,23-Mar-26,10,91270000,327.6,29900052000
23-03-2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,23-Mar-26,5,362593869,405.15,1.46905E+11
23-03-2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,23-Mar-26,5,90647294,617.6,55983768774
23-03-2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,23-Mar-26,10,8458495,337.9,2858125461
23-03-2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,23-Mar-26,10,14810700,125.35,1856669352
23-03-2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,23-Mar-26,5,22600000,18.7,422620000
23-03-2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,23-Mar-26,10,79179511,1073.9,85030876863
23-03-2026,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,23-Mar-26,2,58365323,23.3,1359328373
23-03-2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,23-Mar-26,2,211908375,6041.5,1.28024E+12
23-03-2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,23-Mar-26,10,21249302,25485,5.41538E+11
23-03-2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,23-Mar-26,10,2617145082,294.95,7.71927E+11
23-03-2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,23-Mar-26,10,21963620,405.4,8904051548
23-03-2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,23-Mar-26,2,279710151,384.15,1.07451E+11
23-03-2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,23-Mar-26,10,1220492475,56.95,69494841527
23-03-2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,23-Mar-26,10,18587830,27.9,518600457
23-03-2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,23-Mar-26,1,638789360,16.9,10808315971
23-03-2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,23-Mar-26,10,1220504009,91.45,1.11615E+11
23-03-2026,ABMINTLLTD,BE,ABM INTERNATIONAL LTD    ,Listed    ,19-Mar-26,10,9408000,45.2,425241600
23-03-2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,10,419532,200,83906400
23-03-2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,23-Mar-26,10,111695680,1110.6,1.24049E+11
23-03-2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,23-Mar-26,5,288777425,889.25,2.56795E+11
23-03-2026,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,23-Mar-26,10,24550000,159.55,3916952500
23-03-2026,ACC,EQ,ACC LIMITED              ,Listed    ,23-Mar-26,10,187787263,1329.8,2.4972E+11
23-03-2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,23-Mar-26,10,14926261,1138.3,16990562896
23-03-2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,23-Mar-26,10,23989020,345.55,8289405861
23-03-2026,ACCORD,SM,ACCORD SYNERGY LIMITED   ,Listed    ,20-Mar-26,10,3472000,26.5,92008000
23-03-2026,ACCPL,SM,ACCRETION PHARMA LIMITED ,Listed    ,23-Mar-26,10,11116000,63.05,700863800
23-03-2026,ACCURACY,EQ,ACCURACY SHIPPING LIMITED,Listed    ,23-Mar-26,1,150560000,3.9,590195200
23-03-2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,23-Mar-26,2,119083196,789.7,94039999881
23-03-2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,23-Mar-26,10,10200000,15.95,162690000
23-03-2026,ACETEC,SM,ACETECH E-COMMERCE LTD   ,Listed    ,23-Mar-26,10,16383735,143.7,2354342720
23-03-2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,23-Mar-26,2,123458394,612.15,75575055887
23-03-2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,23-Mar-26,10,92172140,48.25,4447305755
23-03-2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,23-Mar-26,2,605971804,237.55,1.43949E+11
23-03-2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,23-Mar-26,5,15015016,177.8,2669669845
23-03-2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,23-Mar-26,5,81871122,2268.2,1.857E+11
23-03-2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,23-Mar-26,10,1201282642,946.9,1.13749E+12
23-03-2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,23-Mar-26,1,1154180729,1833,2.11561E+12
23-03-2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,23-Mar-26,10,1647176155,816.45,1.34484E+12
23-03-2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,23-Mar-26,2,2303959098,1303.6,3.00344E+12
23-03-2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,23-Mar-26,2,19284694705,147.85,2.85124E+12
23-03-2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,23-Mar-26,10,15909732,70,1113681240
23-03-2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,23-Mar-26,2,109863595,162.15,17814381929
23-03-2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,23-Mar-26,10,5566250,63.3,352287962.5
23-03-2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,23-Mar-26,10,17402815,871.8,15171774117
23-03-2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,23-Mar-26,10,54177208,8.4,455088547.2
23-03-2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,23-Mar-26,5,56514128,95.95,5423660864
23-03-2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,23-Mar-26,10,10936777,1555.6,17013250301
23-03-2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,23-Mar-26,10,64285720,88.55,5691214792
23-03-2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,23-Mar-26,2,92438500,47.9,4425955380
23-03-2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,23-Mar-26,10,53942887,138.65,7478641854
23-03-2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,23-Mar-26,2,111926800,266.8,29862070240
23-03-2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,23-Mar-26,1,351000000,587.95,2.0637E+11
23-03-2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,23-Mar-26,10,1107991489,175.35,1.94275E+11
23-03-2026,AEPL,EQ,ARTEMIS ELECTRICALS & P L,Listed    ,23-Mar-26,1,251036900,16.15,4054245935
23-03-2026,AEQUS,EQ,AEQUS LIMITED            ,Listed    ,23-Mar-26,10,670665635,120.15,80567062733
23-03-2026,AEROENTER,EQ,AEROFLEX ENTERPRISES LTD ,Listed    ,23-Mar-26,2,113085000,65.3,7385581350
23-03-2026,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,23-Mar-26,2,129320370,223.3,28875945417
23-03-2026,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,23-Mar-26,10,17020000,78.05,1328411000
23-03-2026,AERONEU,EQ,AEROFLEX NEU LIMITED     ,Listed    ,23-Mar-26,10,25796000,68.2,1759029240
23-03-2026,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,23-Mar-26,10,17220175,62.7,1079704973
23-03-2026,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,23-Mar-26,10,132612818,1085.05,1.43892E+11
23-03-2026,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,23-Mar-26,10,367784631,271.2,99743191927
23-03-2026,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,23-Mar-26,2,140695134,1268.7,1.785E+11
23-03-2026,AFFORDABLE,EQ,AFFORD ROBO & AUTO LTD   ,Listed    ,23-Mar-26,10,11246266,139.1,1564468063
23-03-2026,AFIL,BE,AKME FINTRADE (INDIA) LTD,Listed    ,23-Mar-26,1,426749960,8.05,3435337178
23-03-2026,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,23-Mar-26,2,50658840,201.05,10184453194
23-03-2026,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,23-Mar-26,10,14957789,382.2,5716866956
23-03-2026,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,23-Mar-26,1,316470002,420.2,1.32981E+11
23-03-2026,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,23-Mar-26,10,7243488,25.5,184708944
23-03-2026,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,23-Mar-26,10,17674600,86.85,1535039010
23-03-2026,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,23-Mar-26,2,64697381,473.1,30608330951
23-03-2026,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,23-Mar-26,1,122167200,293.45,35849964840
23-03-2026,AGNI,SM,AGNI GREEN POWER LTD     ,Listed    ,23-Mar-26,10,19534800,13.6,265673280
23-03-2026,AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,Listed    ,23-Mar-26,10,5940000,102,605939400
23-03-2026,AGROPHOS,EQ,AGRO PHOS INDIA LIMITED  ,Listed    ,23-Mar-26,10,20274115,30.75,623631777.4
23-03-2026,AGSTRA,BZ,AGS TRANSACT TECH LTD    ,Listed    ,23-Mar-26,10,128433076,2.7,349337966.7
23-03-2026,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,09-Mar-26,10,5484000,72.9,399783600
