"SYMBOL","COMPANY_NAME","OPEN_PRICE","HIGH_PRICE","LOW_PRICE","CLOSE_PRICE","PREV_CL_PR","NET_TRDQTY","TRADES","MARKET_CAP","ISSUE_SIZE"
"ADANIENT","ADANI ENTERPRISES LIMITED",1910.0,1910.1,1820.5,1833.0,1927.1,2370668,92190,2120000000000.0,1154180729
"ADANIPORTS","ADANI PORT & SEZ LTD",1350.0,1350.0,1293.5,1303.6,1365.4,3361416,169409,3000000000000.0,2303959098
"APOLLOHOSP","APOLLO HOSPITALS ENTER. L",7288.0,7288.0,7080.0,7145.0,7364.5,464969,56488,1030000000000.0,143784657
"ASIANPAINT","ASIAN PAINTS LIMITED",2180.0,2180.0,2115.0,2121.3,2195.4,978398,84243,2030000000000.0,959197790
"AXISBANK","AXIS BANK LIMITED",1181.0,1185.1,1165.0,1170.6,1203.9,6697446,225496,3630000000000.0,3104488514
"BAJAJ-AUTO","BAJAJ AUTO LIMITED",8989.5,8989.5,8752.0,8776.0,9051.0,375189,64073,2450000000000.0,279257608
"BAJAJFINSV","BAJAJ FINSERV LTD.",1699.8,1700.0,1662.7,1675.5,1710.3,2207925,112974,2680000000000.0,1597813220
"BAJFINANCE","BAJAJ FINANCE LIMITED",818.1,818.8,787.9,812.6,830.55,15835828,385591,5060000000000.0,6222481865
"BEL","BHARAT ELECTRONICS LTD",420.6,421.75,404.0,405.5,426.1,18894757,264954,2960000000000.0,7309778829
"BHARTIARTL","BHARTI AIRTEL LIMITED",1827.0,1830.0,1792.0,1795.9,1846.1,6874051,246881,10200000000000.0,5702105319
"CIPLA","CIPLA LTD",1252.0,1252.7,1217.8,1221.8,1256.4,1295463,74343,987000000000.0,807771798
"COALINDIA","COAL INDIA LTD",466.0,466.0,450.65,455.25,468.15,10163783,139845,2810000000000.0,6162728327
"DRREDDY","DR. REDDY S LABORATORIES",1293.0,1293.0,1244.2,1253.3,1298.9,2112613,70019,1050000000000.0,834630355
"EICHERMOT","EICHER MOTORS LTD",6790.0,6831.5,6661.0,6681.5,6909.0,380052,64045,1830000000000.0,274299237
"ETERNAL","ETERNAL LIMITED",227.9,231.4,224.21,226.96,232.29,71121843,507043,2190000000000.0,9650350647
"GRASIM","GRASIM INDUSTRIES LTD",2591.0,2598.0,2502.5,2531.1,2616.3,1936926,119360,1720000000000.0,680521734
"HCLTECH","HCL TECHNOLOGIES LTD",1314.8,1365.0,1310.0,1358.6,1333.7,5166409,173461,3690000000000.0,2713665096
"HDFCBANK","HDFC BANK LTD",763.15,768.7,741.05,744.15,780.45,72341738,872248,11400000000000.0,15384577216
"HDFCLIFE","HDFC LIFE INS CO LTD",615.1,617.0,590.1,592.1,623.65,4223148,114800,1280000000000.0,2157615850
"HINDALCO","HINDALCO  INDUSTRIES  LTD",855.0,857.35,835.95,840.25,874.25,11372786,235268,1890000000000.0,2247226523
"HINDUNILVR","HINDUSTAN UNILEVER LTD.",2062.3,2097.0,2033.3,2052.2,2082.7,2599535,167567,4820000000000.0,2349591262
"ICICIBANK","ICICI BANK LTD.",1226.6,1234.9,1218.1,1222.7,1245.4,17049534,279421,8740000000000.0,7150191757
"INDIGO","INTERGLOBE AVIATION LTD",4069.8,4103.9,3895.2,3945.3,4149.1,2919605,214828,1530000000000.0,386590598
"INFY","INFOSYS LIMITED",1238.2,1261.1,1227.4,1256.8,1255.9,12420293,307309,5100000000000.0,4054624409
"ITC","ITC LTD",298.9,299.0,289.55,290.45,299.95,31788160,379322,3640000000000.0,12528764562
"JIOFIN","JIO FIN SERVICES LTD",236.2,236.3,225.4,226.1,239.3,21172068,192812,1440000000000.0,6353141623
"JSWSTEEL","JSW STEEL LIMITED",1153.8,1153.8,1102.5,1109.6,1169.6,2532216,88622,2710000000000.0,2445453966
"KOTAKBANK","KOTAK MAHINDRA BANK LTD",364.85,364.9,355.25,356.55,366.75,16980244,189680,3550000000000.0,9945492975
"LT","LARSEN & TOUBRO LTD.",3405.1,3409.9,3288.1,3342.4,3434.8,5645839,319335,4600000000000.0,1375580872
"M&M","MAHINDRA & MAHINDRA LTD",3015.1,3019.7,2935.0,2955.8,3066.1,3978740,235232,3680000000000.0,1243528831
