MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     23114.50,     22824.35,     22851.70,     22471.25,     22512.65,1304377193430.90,6722378331,Y, ,46078096,     26373.20,     21743.65
Y,NIFTY50 EQL Wgt,     30478.60,     30160.05,     30172.90,     29548.30,     29601.45,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 EQL Wgt,     31179.15,     30869.45,     30872.30,     30052.95,     30104.30,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 LowVol30,     18854.25,     18695.55,     18701.10,     18343.70,     18377.65,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY Alpha 50,     46708.75,     46144.00,     46144.00,     44542.70,     44842.55,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY MIDCAP 150,     20226.90,     20007.65,     20007.65,     19384.45,     19445.75,0.00,0,Y, ,0,     22650.05,     17269.50
Y,NIFTY SMLCAP 50,      7683.40,      7613.00,      7613.40,      7338.35,      7400.60,0.00,0,Y, ,0,      9282.70,      6776.05
Y,NIFTY SMLCAP 250,     14791.95,     14643.45,     14643.75,     14143.45,     14232.85,0.00,0,Y, ,0,     18077.35,     13314.70
Y,NIFTY MIDSML 400,     18208.55,     18016.05,     18016.05,     17436.95,     17510.35,0.00,0,Y, ,0,     20668.15,     15832.85
Y,NIFTY200 QUALTY30,     18839.25,     18660.00,     18660.00,     18297.65,     18342.65,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty FinSrv25 50,     27131.85,     26716.40,     26740.70,     26128.05,     26192.30,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY AlphaLowVol,     24871.20,     24624.35,     24636.65,     24085.85,     24135.05,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200Momentm30,     28410.95,     28014.40,     28014.40,     27186.05,     27324.95,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100ESGSecLdr,      3840.55,      3791.95,      3795.75,      3731.65,      3741.15,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY100 ESG,      4614.45,      4560.45,      4561.80,      4472.75,      4483.25,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY M150 QLTY50,     21481.80,     21259.70,     21259.70,     20654.50,     20731.35,0.00,0,Y, ,0,         0.00,         0.00
Y,NIFTY INDIA MFG,     14572.40,     14419.45,     14422.25,     14052.40,     14090.90,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty200 Alpha 30,     23214.65,     22893.30,     22893.30,     22144.80,     22265.45,0.00,0,Y, ,0,         0.00,         0.00
Y,NiftyM150Momntm50,     56856.85,     56116.70,     56116.70,     54276.00,     54516.95,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty50 USD,      8545.75,      8545.75,      8574.50,      8288.65,      8292.95,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty IT,     29199.60,     28847.90,     29295.70,     28613.80,     29147.05,0.00,0,Y, ,0,     40301.40,     28288.05
Y,Nifty Next 50,     63862.30,     63236.75,     63238.65,     61272.25,     61414.90,0.00,0,Y, ,0,     70833.65,     57250.25
Y,Nifty Bank,     53427.05,     52576.10,     52665.30,     51323.60,     51437.75,0.00,0,Y, ,0,     61764.85,     49156.95
Y,NIFTY MIDCAP 100,     54855.50,     54242.40,     54242.40,     52573.55,     52717.55,0.00,0,Y, ,0,     61548.85,     46966.60
Y,Nifty 500,     21327.90,     21079.60,     21090.05,     20611.80,     20664.25,0.00,0,Y, ,0,     24144.20,     19519.85
Y,Nifty 100,     23766.10,     23478.80,     23504.20,     23054.30,     23098.25,0.00,0,Y, ,0,     26975.15,     22177.35
Y,Nifty Midcap 50,     15572.60,     15405.45,     15405.45,     14956.15,     15000.50,0.00,0,Y, ,0,     17572.45,     13269.65
Y,Nifty Realty,       696.40,       686.35,       688.50,       661.35,       663.40,0.00,0,Y, ,0,      1049.70,       661.35
Y,Nifty Infra,      8800.15,      8720.80,      8731.15,      8526.60,      8573.90,0.00,0,Y, ,0,      9792.60,      7775.80
Y,Nifty Energy,     35908.30,     35681.15,     35713.80,     34648.50,     34839.45,0.00,0,Y, ,0,     37306.50,     29802.20
Y,Nifty FMCG,     47007.55,     46699.05,     46743.95,     45740.90,     45837.05,0.00,0,Y, ,0,     58485.05,     45740.90
Y,Nifty MNC,     28875.00,     28632.45,     28632.45,     27932.20,     28031.55,0.00,0,Y, ,0,     32131.15,     23981.05
Y,Nifty Pharma,     22540.70,     22461.80,     22462.90,     21983.70,     22053.10,0.00,0,Y, ,0,     23540.90,     19121.10
Y,Nifty PSE,      9882.00,      9790.80,      9805.80,      9549.45,      9593.90,0.00,0,Y, ,0,     10544.05,      8457.60
Y,Nifty PSU Bank,      8584.60,      8443.25,      8448.30,      8188.60,      8231.65,0.00,0,Y, ,0,      9918.65,      5904.10
Y,Nifty Serv Sector,     29475.65,     29051.65,     29108.05,     28651.60,     28708.50,0.00,0,Y, ,0,     34549.75,     28651.60
Y,Nifty Auto,     24715.90,     24433.45,     24433.45,     23865.65,     23934.75,0.00,0,Y, ,0,     29179.10,     19316.65
Y,Nifty Metal,     11412.75,     11215.15,     11223.80,     10819.85,     10863.45,0.00,0,Y, ,0,     12509.75,      7690.20
Y,Nifty Media,      1305.10,      1294.85,      1294.90,      1245.05,      1253.35,0.00,0,Y, ,0,      1786.15,      1245.05
Y,NIFTY SMLCAP 100,     15718.60,     15565.30,     15565.30,     14986.00,     15098.70,0.00,0,Y, ,0,     19224.95,     14084.30
Y,Nifty 200,     12985.40,     12830.60,     12839.55,     12568.75,     12594.30,0.00,0,Y, ,0,     14700.95,     11941.45
Y,Nifty Div Opps 50,      5833.80,      5765.35,      5767.60,      5671.25,      5695.00,0.00,0,Y, ,0,      6584.65,      5288.60
Y,Nifty Commodities,      9390.50,      9289.80,      9295.95,      9029.00,      9058.15,0.00,0,Y, ,0,     10078.60,      7601.40
Y,Nifty Consumption,     10671.65,     10564.15,     10564.75,     10319.10,     10338.00,0.00,0,Y, ,0,     12716.20,     10159.85
Y,Nifty Fin Service,     24781.15,     24400.95,     24427.95,     23895.70,     23959.20,0.00,0,Y, ,0,     28562.50,     23546.50
Y,Nifty50 Div Point,       279.19,       279.19,       279.19,       279.19,       279.19,0.00,0,Y, ,0,         0.00,         0.00
Y,Nifty100 Liq 15,      6905.70,      6822.35,      6832.55,      6681.60,      6723.90,0.00,0,Y, ,0,      7774.60,      6045.55
Y,Nifty CPSE,      7026.75,      6996.55,      7020.45,      6850.15,      6891.40,0.00,0,Y, ,0,      7252.05,      5521.95
Y,Nifty GrowSect 15,     10608.40,     10498.45,     10501.10,     10370.95,     10401.05,0.00,0,Y, ,0,     12852.45,      9722.65
Y,Nifty50 PR 2x Lev,     11310.70,     11021.75,     11035.45,     10677.00,     10716.70,0.00,0,Y, ,0,     14993.40,     10677.00
Y,Nifty50 PR 1x Inv,       227.20,       230.15,       233.60,       230.00,       233.20,0.00,0,Y, ,0,       233.60,       197.80
